タイプ,特徴,テル,弱点,嫌がるプレイ
INTJ,戦略的、冷静、長期視点、数学的分析,表情が読めない、沈黙多い,柔軟性不足、感情無視、自信過剰,予測不能なプレイ、感情的ブラフ
INTP,理論家、好奇心旺盛、効率重視,小声で独り言、目線泳ぐ、長考,考えすぎて行動遅れ、理論へのこだわり,テンポ速、強気なレイズ、無計画
ENTJ,主導的、論理的、強気、決断力,強気な発言、他者に指示、攻撃的,他者の感情を軽視、焦り、相手への過信,感情を揺さぶる、ゆったり消極的プレイ
ISTP,反応鋭い、観察力、冷静、適応力高,鋭い視線、無口、慎重,感情に無関心、長期設計苦手、退屈に弱い,多弁、過度なブラフ、論理押し付け
ESTP,大胆、反射神経、直感、刺激好き,リアクション大、体が動く、チップ操作頻繁,無謀なブラフ、リスク過多、長期計画難,粘る相手、ブラフコール、タイトプレイ
ENTP,発想力、即興型、陽気、混乱させる,ジョーク、よく喋る、相手の反応を伺う,プラン無し、過度なブラフ、集中散漫,タイトな相手、理詰め展開、単調プレイ
ENFJ,共感力、社交的、感情重視,他者を気遣う発言、身振り手振り大,感情に左右、損切り遅、ブラフ打つの苦手,冷静無表情、不愉快な言動、攻撃的
INFJ,直感、深読み、洞察力、心理を読む,沈黙＋深呼吸、一人分析、視線が泳ぐ,直感の迷信、感情的ストレス,無表情プレイ、攻撃的プレイ
ISTJ,堅実、慎重、論理的、秩序,手を揃える、チップ整える,相手を読めない、柔軟性低、ブラフ少,変則プレイ、強気なプレッシャー
ESTJ,管理力、実行力、現実的,手元の整頓、声が安定、指示口調、攻撃的,アジャスト苦手、攻めがパターン化,読み合い重視の心理戦、非効率ベット
ISFP,感覚型、繊細、感情直観,目線優しい、微笑多、感情が出る,感受性高すぎ、感情の揺れ、ブラフ少,理論型の攻め、強打
ENFP,社交的、柔軟、情熱的、好奇心,動作派手、喋り多、笑顔多い,理論軽視、即興、感情判断、集中力欠如,ロジカルな抑制、無表情プレイ
ESFJ,協調型、親しみ、思いやり,相槌多、相手の目を見る,感情を鵜呑み、周囲の意見に流される,静かなテーブル、攻撃的プレイ、無表情無言
ISFJ,実直、忠実、サポート型,小さく頷く、微笑む、控えめなベット,受け身で主導権無し、ブラフ苦手,激しい攻め、ブラフ連発
ESFP,エンタメ型、反応重視、陽気,大声、身振り多い、笑い,判断甘い、集中欠如,沈黙、堅実型の相手
INFP,理想主義、直感型、繊細,首をひねる、うなずく、目線が泳ぐ,感情で判断しがち,理詰め展開、ルース攻撃的
